cluster
**Similarity**|**APIV1**|**APIV2**|**comment**
:-----:|:-----:|:-----:|:----:|
-|`sklearn/sklearn.cluster._bicluster/_bistochastic_normalize`||
-|`sklearn/sklearn.cluster._bicluster/_log_normalize`||
-|`sklearn/sklearn.cluster._bicluster/_scale_normalize`||
-|`sklearn/sklearn.cluster._birch/_iterate_sparse_X`||
-|`sklearn/sklearn.cluster._birch/_split_node`||
-|`sklearn/sklearn.cluster._dbscan/dbscan`||
-|`sklearn/sklearn.cluster._kmeans/_kmeans_plusplus`||
-|`sklearn/sklearn.cluster._kmeans/_kmeans_single_elkan`||
-|`sklearn/sklearn.cluster._kmeans/_kmeans_single_lloyd`||
-|`sklearn/sklearn.cluster._kmeans/_labels_inertia`||
-|`sklearn/sklearn.cluster._kmeans/_mini_batch_convergence`||
-|`sklearn/sklearn.cluster._kmeans/_mini_batch_step`||
-|`sklearn/sklearn.cluster._kmeans/_tolerance`||
-|`sklearn/sklearn.cluster._kmeans/k_means`||
-|`sklearn/sklearn.cluster._kmeans/kmeans_plusplus`||
-|`sklearn/sklearn.cluster._mean_shift/_mean_shift_single_seed`||
-|`sklearn/sklearn.cluster._mean_shift/estimate_bandwidth`||
-|`sklearn/sklearn.cluster._mean_shift/get_bin_seeds`||
-|`sklearn/sklearn.cluster._mean_shift/mean_shift`||
-|`sklearn/sklearn.cluster._optics/_compute_core_distances_`||
-|`sklearn/sklearn.cluster._optics/_correct_predecessor`||
-|`sklearn/sklearn.cluster._optics/_extend_region`||
-|`sklearn/sklearn.cluster._optics/_extract_xi_labels`||
-|`sklearn/sklearn.cluster._optics/_set_reach_dist`||
-|`sklearn/sklearn.cluster._optics/_update_filter_sdas`||
-|`sklearn/sklearn.cluster._optics/_validate_size`||
-|`sklearn/sklearn.cluster._optics/_xi_cluster`||
-|`sklearn/sklearn.cluster._optics/cluster_optics_dbscan`||
-|`sklearn/sklearn.cluster._optics/cluster_optics_xi`||
-|`sklearn/sklearn.cluster._optics/compute_optics_graph`||
-|`sklearn/sklearn.cluster._spectral/discretize`||
-|`sklearn/sklearn.cluster._spectral/spectral_clustering`||
-|`sklearn/sklearn.cluster.setup/configuration`||
-|`sklearn/sklearn.metrics.cluster._bicluster/_check_rows_and_columns`||
-|`sklearn/sklearn.metrics.cluster._bicluster/_jaccard`||
-|`sklearn/sklearn.metrics.cluster._bicluster/_pairwise_similarity`||
-|`sklearn/sklearn.metrics.cluster._bicluster/consensus_score`||
-|`sklearn/sklearn.metrics.cluster._supervised/_generalized_average`||
-|`sklearn/sklearn.metrics.cluster._supervised/adjusted_mutual_info_score`||
-|`sklearn/sklearn.metrics.cluster._supervised/adjusted_rand_score`||
-|`sklearn/sklearn.metrics.cluster._supervised/check_clusterings`||
-|`sklearn/sklearn.metrics.cluster._supervised/completeness_score`||
-|`sklearn/sklearn.metrics.cluster._supervised/contingency_matrix`||
-|`sklearn/sklearn.metrics.cluster._supervised/entropy`||
-|`sklearn/sklearn.metrics.cluster._supervised/fowlkes_mallows_score`||
-|`sklearn/sklearn.metrics.cluster._supervised/homogeneity_completeness_v_measure`||
-|`sklearn/sklearn.metrics.cluster._supervised/homogeneity_score`||
-|`sklearn/sklearn.metrics.cluster._supervised/mutual_info_score`||
-|`sklearn/sklearn.metrics.cluster._supervised/normalized_mutual_info_score`||
-|`sklearn/sklearn.metrics.cluster._supervised/pair_confusion_matrix`||
-|`sklearn/sklearn.metrics.cluster._supervised/rand_score`||
-|`sklearn/sklearn.metrics.cluster._supervised/v_measure_score`||
-|`sklearn/sklearn.metrics.cluster._unsupervised/_silhouette_reduce`||
-|`sklearn/sklearn.metrics.cluster._unsupervised/calinski_harabasz_score`||
-|`sklearn/sklearn.metrics.cluster._unsupervised/check_number_of_labels`||
-|`sklearn/sklearn.metrics.cluster._unsupervised/davies_bouldin_score`||
-|`sklearn/sklearn.metrics.cluster._unsupervised/silhouette_samples`||
-|`sklearn/sklearn.metrics.cluster._unsupervised/silhouette_score`||
-|`sklearn/sklearn.metrics.cluster.setup/configuration`||
-|`sklearn/sklearn.utils.estimator_checks/_yield_clustering_checks`||
-|`sklearn/sklearn.utils.estimator_checks/check_clusterer_compute_labels_predict`||
-|`sklearn/sklearn.utils.estimator_checks/check_clustering`||
-||`sklearn/sklearn.cluster._bisect_k_means/BisectingKMeans`|
-||`sklearn/sklearn.cluster._bisect_k_means/_BisectingTree`|
-||`sklearn/sklearn.cluster._kmeans/_BaseKMeans`|
-||`sklearn/sklearn.cluster._affinity_propagation/_affinity_propagation`|
-||`sklearn/sklearn.cluster._affinity_propagation/_equal_similarities_and_preferences`|
-||`sklearn/sklearn.cluster._affinity_propagation/affinity_propagation`|
-||`sklearn/sklearn.cluster._agglomerative/_average_linkage`|
-||`sklearn/sklearn.cluster._agglomerative/_complete_linkage`|
-||`sklearn/sklearn.cluster._agglomerative/_fix_connectivity`|
-||`sklearn/sklearn.cluster._agglomerative/_hc_cut`|
-||`sklearn/sklearn.cluster._agglomerative/_single_linkage`|
-||`sklearn/sklearn.cluster._agglomerative/_single_linkage_tree`|
-||`sklearn/sklearn.cluster._agglomerative/linkage_tree`|
-||`sklearn/sklearn.cluster._agglomerative/ward_tree`|
-||`sklearn/sklearn.cluster._bicluster/_bistochastic_normalize`|
-||`sklearn/sklearn.cluster._bicluster/_log_normalize`|
-||`sklearn/sklearn.cluster._bicluster/_scale_normalize`|
-||`sklearn/sklearn.cluster._birch/_iterate_sparse_X`|
-||`sklearn/sklearn.cluster._birch/_split_node`|
-||`sklearn/sklearn.cluster._dbscan/dbscan`|
-||`sklearn/sklearn.cluster._kmeans/_kmeans_plusplus`|
-||`sklearn/sklearn.cluster._kmeans/_kmeans_single_elkan`|
-||`sklearn/sklearn.cluster._kmeans/_kmeans_single_lloyd`|
-||`sklearn/sklearn.cluster._kmeans/_labels_inertia`|
-||`sklearn/sklearn.cluster._kmeans/_labels_inertia_threadpool_limit`|
-||`sklearn/sklearn.cluster._kmeans/_mini_batch_step`|
-||`sklearn/sklearn.cluster._kmeans/_tolerance`|
-||`sklearn/sklearn.cluster._kmeans/k_means`|
-||`sklearn/sklearn.cluster._kmeans/kmeans_plusplus`|
-||`sklearn/sklearn.cluster._mean_shift/_mean_shift_single_seed`|
-||`sklearn/sklearn.cluster._mean_shift/estimate_bandwidth`|
-||`sklearn/sklearn.cluster._mean_shift/get_bin_seeds`|
-||`sklearn/sklearn.cluster._mean_shift/mean_shift`|
-||`sklearn/sklearn.cluster._optics/_compute_core_distances_`|
-||`sklearn/sklearn.cluster._optics/_correct_predecessor`|
-||`sklearn/sklearn.cluster._optics/_extend_region`|
-||`sklearn/sklearn.cluster._optics/_extract_xi_labels`|
-||`sklearn/sklearn.cluster._optics/_set_reach_dist`|
-||`sklearn/sklearn.cluster._optics/_update_filter_sdas`|
-||`sklearn/sklearn.cluster._optics/_validate_size`|
-||`sklearn/sklearn.cluster._optics/_xi_cluster`|
-||`sklearn/sklearn.cluster._optics/cluster_optics_dbscan`|
-||`sklearn/sklearn.cluster._optics/cluster_optics_xi`|
-||`sklearn/sklearn.cluster._optics/compute_optics_graph`|
-||`sklearn/sklearn.cluster._spectral/cluster_qr`|
-||`sklearn/sklearn.cluster._spectral/discretize`|
-||`sklearn/sklearn.cluster._spectral/spectral_clustering`|
-||`sklearn/sklearn.metrics.cluster._bicluster/_check_rows_and_columns`|
-||`sklearn/sklearn.metrics.cluster._bicluster/_jaccard`|
-||`sklearn/sklearn.metrics.cluster._bicluster/_pairwise_similarity`|
-||`sklearn/sklearn.metrics.cluster._bicluster/consensus_score`|
-||`sklearn/sklearn.metrics.cluster._supervised/_generalized_average`|
-||`sklearn/sklearn.metrics.cluster._supervised/adjusted_mutual_info_score`|
-||`sklearn/sklearn.metrics.cluster._supervised/adjusted_rand_score`|
-||`sklearn/sklearn.metrics.cluster._supervised/check_clusterings`|
-||`sklearn/sklearn.metrics.cluster._supervised/completeness_score`|
-||`sklearn/sklearn.metrics.cluster._supervised/contingency_matrix`|
-||`sklearn/sklearn.metrics.cluster._supervised/entropy`|
-||`sklearn/sklearn.metrics.cluster._supervised/fowlkes_mallows_score`|
-||`sklearn/sklearn.metrics.cluster._supervised/homogeneity_completeness_v_measure`|
-||`sklearn/sklearn.metrics.cluster._supervised/homogeneity_score`|
-||`sklearn/sklearn.metrics.cluster._supervised/mutual_info_score`|
-||`sklearn/sklearn.metrics.cluster._supervised/normalized_mutual_info_score`|
-||`sklearn/sklearn.metrics.cluster._supervised/pair_confusion_matrix`|
-||`sklearn/sklearn.metrics.cluster._supervised/rand_score`|
-||`sklearn/sklearn.metrics.cluster._supervised/v_measure_score`|
-||`sklearn/sklearn.metrics.cluster._unsupervised/_silhouette_reduce`|
-||`sklearn/sklearn.metrics.cluster._unsupervised/calinski_harabasz_score`|
-||`sklearn/sklearn.metrics.cluster._unsupervised/check_number_of_labels`|
-||`sklearn/sklearn.metrics.cluster._unsupervised/davies_bouldin_score`|
-||`sklearn/sklearn.metrics.cluster._unsupervised/silhouette_samples`|
-||`sklearn/sklearn.metrics.cluster._unsupervised/silhouette_score`|
-||`sklearn/sklearn.utils.estimator_checks/_yield_clustering_checks`|
-||`sklearn/sklearn.utils.estimator_checks/check_clusterer_compute_labels_predict`|
-||`sklearn/sklearn.utils.estimator_checks/check_clustering`|
1.0|`sklearn/sklearn.cluster._kmeans/KMeans/random_state`|`sklearn/sklearn.cluster._kmeans/_BaseKMeans/random_state`|
1.0|`sklearn/sklearn.cluster._affinity_propagation/AffinityPropagation/damping`|`sklearn/sklearn.cluster._affinity_propagation/AffinityPropagation/damping`|
1.0|`sklearn/sklearn.cluster._affinity_propagation/AffinityPropagation/preference`|`sklearn/sklearn.cluster._affinity_propagation/AffinityPropagation/preference`|
1.0|`sklearn/sklearn.cluster._agglomerative/AgglomerativeClustering/distance_threshold`|`sklearn/sklearn.cluster._agglomerative/AgglomerativeClustering/distance_threshold`|
1.0|`sklearn/sklearn.cluster._agglomerative/AgglomerativeClustering/memory`|`sklearn/sklearn.cluster._agglomerative/AgglomerativeClustering/memory`|
1.0|`sklearn/sklearn.cluster._agglomerative/AgglomerativeClustering/connectivity`|`sklearn/sklearn.cluster._agglomerative/AgglomerativeClustering/connectivity`|
1.0|`sklearn/sklearn.cluster._agglomerative/AgglomerativeClustering/children_`|`sklearn/sklearn.cluster._agglomerative/AgglomerativeClustering/children_`|
1.0|`sklearn/sklearn.cluster._agglomerative/AgglomerativeClustering/n_connected_components_`|`sklearn/sklearn.cluster._agglomerative/AgglomerativeClustering/n_connected_components_`|
1.0|`sklearn/sklearn.cluster._agglomerative/AgglomerativeClustering/n_leaves_`|`sklearn/sklearn.cluster._agglomerative/AgglomerativeClustering/n_leaves_`|
1.0|`sklearn/sklearn.cluster._agglomerative/AgglomerativeClustering/distances_`|`sklearn/sklearn.cluster._agglomerative/AgglomerativeClustering/distances_`|
1.0|`sklearn/sklearn.cluster._agglomerative/FeatureAgglomeration/pooling_func`|`sklearn/sklearn.cluster._agglomerative/FeatureAgglomeration/pooling_func`|
1.0|`sklearn/sklearn.cluster._bicluster/BaseSpectral/n_svd_vecs`|`sklearn/sklearn.cluster._bicluster/BaseSpectral/n_svd_vecs`|
1.0|`sklearn/sklearn.cluster._bicluster/SpectralCoclustering/row_labels_`|`sklearn/sklearn.cluster._bicluster/SpectralCoclustering/row_labels_`|
1.0|`sklearn/sklearn.cluster._bicluster/SpectralBiclustering/row_labels_`|`sklearn/sklearn.cluster._bicluster/SpectralBiclustering/row_labels_`|
1.0|`sklearn/sklearn.cluster._bicluster/SpectralCoclustering/column_labels_`|`sklearn/sklearn.cluster._bicluster/SpectralCoclustering/column_labels_`|
1.0|`sklearn/sklearn.cluster._bicluster/SpectralBiclustering/column_labels_`|`sklearn/sklearn.cluster._bicluster/SpectralBiclustering/column_labels_`|
1.0|`sklearn/sklearn.cluster._birch/Birch/root_`|`sklearn/sklearn.cluster._birch/Birch/root_`|
1.0|`sklearn/sklearn.cluster._birch/Birch/dummy_leaf_`|`sklearn/sklearn.cluster._birch/Birch/dummy_leaf_`|
1.0|`sklearn/sklearn.cluster._birch/Birch/subcluster_labels_`|`sklearn/sklearn.cluster._birch/Birch/subcluster_labels_`|
